Name;Question;Description;Default;Validity;Visibility;Constraint
InsertCrossover;Do you want to install InsertCrossover?;InsertCrossover description;;;Crossover & Crossover;(InsertCrossover ~ Crossover)
InsertNeutral;Do you want to install InsertNeutral?;InsertNeutral description;;;InsertNeutral &  - InsertNeutral;(InsertNeutral ~ Neutral)
InsertNeutral1_1;Do you want to install InsertNeutral1_1?;InsertNeutral1_1 description;;;Neutral1_1 & Neutral1_1;(InsertNeutral1_1 ~ InsertNeutral) & (InsertNeutral1_1 ~ Neutral1_1)
InsertNeutral1_2;Do you want to install InsertNeutral1_2?;InsertNeutral1_2 description;;;Neutral1_2 & Neutral1_2;(InsertNeutral1_2 ~ InsertNeutral) & (InsertNeutral1_2 ~ Neutral1_2)
InsertO_Ring;Do you want to install InsertO_Ring?;InsertO_Ring description;;;InsertO_Ring &  - InsertO_Ring;(InsertO_Ring ~ O_Ring)
InsertO_Ring1_1;Do you want to install InsertO_Ring1_1?;InsertO_Ring1_1 description;;;O_Ring1_1 & O_Ring1_1;(InsertO_Ring1_1 ~ O_Ring1_1) & (InsertO_Ring1_1 ~ InsertO_Ring)
InsertO_Ring1_2;Do you want to install InsertO_Ring1_2?;InsertO_Ring1_2 description;;;O_Ring1_2 & O_Ring1_2;(InsertO_Ring1_2 ~ O_Ring1_2) & (InsertO_Ring1_2 ~ InsertO_Ring)
InsertOff;Do you want to install InsertOff?;InsertOff description;;;InsertOff &  - InsertOff;(InsertOff ~ Off)
InsertOff1_1;Do you want to install InsertOff1_1?;InsertOff1_1 description;;;Off1_1 & Off1_1;(InsertOff1_1 ~ Off1_1) & (InsertOff1_1 ~ InsertOff)
InsertOff1_2;Do you want to install InsertOff1_2?;InsertOff1_2 description;;;Off1_2 & Off1_2;(InsertOff1_2 ~ Off1_2) & (InsertOff1_2 ~ InsertOff)
InsertOff1_3;Do you want to install InsertOff1_3?;InsertOff1_3 description;;;Off1_3 & Off1_3;(InsertOff1_3 ~ Off1_3) & (InsertOff1_3 ~ InsertOff)
InsertOff1_4;Do you want to install InsertOff1_4?;InsertOff1_4 description;;;Off1_4 & Off1_4;(InsertOff1_4 ~ Off1_4) & (InsertOff1_4 ~ InsertOff)
InsertPole;Do you want to install InsertPole?;InsertPole description;;;InsertPole &  - InsertPole;(InsertPole ~ Pole)
InsertPole1_1;Do you want to install InsertPole1_1?;InsertPole1_1 description;;;Pole1_1 & Pole1_1;(InsertPole1_1 ~ InsertPole) & (InsertPole1_1 ~ Pole1_1)
InsertPole1_2;Do you want to install InsertPole1_2?;InsertPole1_2 description;;;Pole1_2 & Pole1_2;(InsertPole1_2 ~ InsertPole) & (InsertPole1_2 ~ Pole1_2)
InsertPole2_1;Do you want to install InsertPole2_1?;InsertPole2_1 description;;;Pole2_1 & Pole2_1;(InsertPole2_1 ~ InsertPole) & (InsertPole2_1 ~ Pole2_1)
InsertPole2_2;Do you want to install InsertPole2_2?;InsertPole2_2 description;;;Pole2_2 & Pole2_2;(InsertPole2_2 ~ InsertPole) & (InsertPole2_2 ~ Pole2_2)
InsertRocker;Do you want to install InsertRocker?;InsertRocker description;;;InsertRocker &  - InsertRocker;(InsertRocker ~ Rocker)
InsertRocker1_1;Do you want to install InsertRocker1_1?;InsertRocker1_1 description;;;Rocker1_1 & Rocker1_1;(InsertRocker1_1 ~ Rocker1_1)
InsertRocker1_2;Do you want to install InsertRocker1_2?;InsertRocker1_2 description;;;Rocker1_2 & Rocker1_2;(InsertRocker1_2 ~ Rocker1_2) & (InsertRocker1_2 ~ InsertRocker)
InsertRocker2_1;Do you want to install InsertRocker2_1?;InsertRocker2_1 description;;;Rocker2_1 & Rocker2_1;(InsertRocker2_1 ~ Rocker2_1) & (InsertRocker2_1 ~ InsertRocker)
InsertRocker2_2;Do you want to install InsertRocker2_2?;InsertRocker2_2 description;;;Rocker2_2 & Rocker2_2;(InsertRocker2_2 ~ Rocker2_2) & (InsertRocker2_2 ~ InsertRocker)
InsertScrew;Do you want to install InsertScrew?;InsertScrew description;;;InsertScrew &  - InsertScrew;(InsertScrew ~ Screw)
InsertScrew1_1;Do you want to install InsertScrew1_1?;InsertScrew1_1 description;;;Screw1_1 & Screw1_1;(InsertScrew1_1 ~ InsertScrew) & (InsertScrew1_1 ~ Screw1_1)
InsertScrew1_2;Do you want to install InsertScrew1_2?;InsertScrew1_2 description;;;Screw1_2 & Screw1_2;(InsertScrew1_2 ~ Screw1_2) & (InsertScrew1_2 ~ InsertScrew)
InsertSeries;Do you want to install InsertSeries?;InsertSeries description;;;Series & Series;(InsertSeries ~ Series)
InsertSocket;Do you want to install InsertSocket?;InsertSocket description;;;Socket & Socket;(InsertSocket ~ Socket)
Neutral;Will the Product Neutral will be used?;Neutral description;;;Neutral &  - Neutral;(Neutral ~ PressNeutral) & (Neutral ~ InsertNeutral)
Neutral1_1;Will the Product Neutral1_1 will be used?;Neutral1_1 description;;;Neutral1_1 &  - Neutral1_1;(Neutral1_1 ~ Neutral)
Neutral1_2;Will the Product Neutral1_2 will be used?;Neutral1_2 description;;;Neutral1_2 &  - Neutral1_2;(Neutral1_2 ~ Neutral)
O_Ring;Will the Product O_Ring will be used?;O_Ring description;;;O_Ring &  - O_Ring;(O_Ring ~ InsertO_Ring) & (O_Ring ~ ScrewScrew)
O_Ring1_1;Will the Product O_Ring1_1 will be used?;O_Ring1_1 description;;;O_Ring1_1 &  - O_Ring1_1;(O_Ring1_1 ~ O_Ring) & ( - O_Ring1_1 ~ O_Ring1_1)
O_Ring1_2;Will the Product O_Ring1_2 will be used?;O_Ring1_2 description;;;O_Ring1_2 &  - O_Ring1_2;(O_Ring1_2 ~ O_Ring) & ( - O_Ring1_2 ~ O_Ring1_2)
Off;Will the Product Off will be used?;Off description;;;Off &  - Off;(Off ~ Rocker) & (Off ~ InsertOff) & (Off ~ PressOff)
Off1_1;Will the Product Off1_1 will be used?;Off1_1 description;;;Off1_1 &  - Off1_1;(Off1_1 ~ Off)
Off1_2;Will the Product Off1_2 will be used?;Off1_2 description;;;Off1_2 &  - Off1_2;(Off1_2 ~ Off)
Off1_3;Will the Product Off1_3 will be used?;Off1_3 description;;;Off1_3 &  - Off1_3;(Off1_3 ~ Off)
Off1_4;Will the Product Off1_4 will be used?;Off1_4 description;;;Off1_4 &  - Off1_4;(Off1_4 ~ Off)
Pole;Will the Product Pole will be used?;Pole description;;;Pole &  - Pole;(Pole ~ PressPole) & (Pole ~ InsertPole)
Pole1_1;Will the Product Pole1_1 will be used?;Pole1_1 description;;;Pole1_1 &  - Pole1_1;(Pole1_1 ~ Pole)
Pole1_2;Will the Product Pole1_2 will be used?;Pole1_2 description;;;Pole1_2 &  - Pole1_2;(Pole1_2 ~ Pole)
Pole2_1;Will the Product Pole2_1 will be used?;Pole2_1 description;;;Pole2_1 &  - Pole2_1;(Pole2_1 ~ Pole)
Pole2_2;Will the Product Pole2_2 will be used?;Pole2_2 description;;;Pole2_2 &  - Pole2_2;(Pole2_2 ~ Pole)
PressChangeover;Do you want to install PressChangeover?;PressChangeover description;;;PressChangeover &  - PressChangeover;(PressChangeover ~ Socket) & (PressChangeover ~ Changeover)
PressChangeover1;Do you want to install PressChangeover1?;PressChangeover1 description;;;Socket & Changeover1 & InsertSocket & InsertChangeover1;(PressChangeover1 ~ Changeover1) & (PressChangeover1 ~ Socket)
PressChangeover2;Do you want to install PressChangeover2?;PressChangeover2 description;;;Socket & Changeover2 & Rocker1_2 & InsertSocket & InsertChangeover2 & PressRocker1_2;(PressChangeover2 ~ Rocker1_2) & (PressChangeover2 ~ Changeover2) & (PressChangeover2 ~ Socket)
PressCrossover;Do you want to install PressCrossover?;PressCrossover description;;;Socket & Crossover & Rocker1_1 & Changeover2 & InsertSocket & InsertCrossover & PressRocker1_1 & PressChangeover2;(PressCrossover ~ Socket) & (PressCrossover ~ Crossover) & (PressCrossover ~ Rocker1_1) & (PressCrossover ~ Changeover2)
PressNeutral;Do you want to install PressNeutral?;PressNeutral description;;;PressNeutral &  - PressNeutral;(PressNeutral ~ Neutral) & (PressNeutral ~ Socket)
PressNeutral1_1;Do you want to install PressNeutral1_1?;PressNeutral1_1 description;;;Socket & Neutral1_1 & InsertSocket & InsertNeutral1_1;(PressNeutral1_1 ~ Neutral1_1) & (PressNeutral1_1 ~ Socket)
PressNeutral1_2;Do you want to install PressNeutral1_2?;PressNeutral1_2 description;;;Socket & Neutral1_2 & InsertSocket & InsertNeutral1_2;(PressNeutral1_2 ~ Neutral1_2) & (PressNeutral1_2 ~ Socket)
PressOff;Do you want to install PressOff?;PressOff description;;;PressOff &  - PressOff;(PressOff ~ Off) & (PressOff ~ Socket)
PressOff1_1;Do you want to install PressOff1_1?;PressOff1_1 description;;;Socket & Off1_1 & InsertSocket & InsertOff1_1;(PressOff1_1 ~ Off1_1) & (PressOff1_1 ~ Socket)
PressOff1_2;Do you want to install PressOff1_2?;PressOff1_2 description;;;Socket & Off1_2 & InsertSocket & InsertOff1_2;(PressOff1_2 ~ Off1_2) & (PressOff1_2 ~ Socket)
PressOff1_3;Do you want to install PressOff1_3?;PressOff1_3 description;;;Socket & Off1_3 & InsertSocket & InsertOff1_3;(PressOff1_3 ~ Socket) & (PressOff1_3 ~ Off1_3)
PressOff1_4;Do you want to install PressOff1_4?;PressOff1_4 description;;;Socket & Off1_4 & InsertSocket & InsertOff1_4;(PressOff1_4 ~ Socket) & (PressOff1_4 ~ Off1_4)
PressPole;Do you want to install PressPole?;PressPole description;;;PressPole &  - PressPole;(PressPole ~ Socket) & (PressPole ~ Pole)
PressPole1_1;Do you want to install PressPole1_1?;PressPole1_1 description;;;Pole1_1 & InsertSocket & InsertPole1_1;(PressPole1_1 ~ Pole1_1) & (PressPole1_1 ~ PressPole)
PressPole1_2;Do you want to install PressPole1_2?;PressPole1_2 description;;;Socket & Pole1_2 & InsertSocket & InsertPole1_2;(PressPole1_2 ~ PressPole) & (PressPole1_2 ~ Socket) & (PressPole1_2 ~ Pole1_2)
PressPole2_1;Do you want to install PressPole2_1?;PressPole2_1 description;;;Socket & Pole2_1 & InsertSocket & InsertPole2_1;(PressPole2_1 ~ PressPole) & (PressPole2_1 ~ Socket) & (PressPole2_1 ~ Pole2_1)
PressPole2_2;Do you want to install PressPole2_2?;PressPole2_2 description;;;Socket & Pole2_2 & InsertSocket & InsertPole2_2;(PressPole2_2 ~ PressPole) & (PressPole2_2 ~ Socket) & (PressPole2_2 ~ Pole2_2)
PressRocker;Do you want to install PressRocker?;PressRocker description;;;PressRocker &  - PressRocker;(PressRocker ~ Rocker) & (PressRocker ~ Socket)
PressRocker1_1;Do you want to install PressRocker1_1?;PressRocker1_1 description;;;Socket & Rocker1_1 & Neutral1_1 & InsertSocket & InsertRocker1_1 & PressNeutral1_1;(PressRocker1_1 ~ Socket) & (PressRocker1_1 ~ Rocker1_1) & (PressRocker1_1 ~ Neutral1_1)
PressRocker1_2;Do you want to install PressRocker1_2?;PressRocker1_2 description;;;Socket & Rocker1_2 & Neutral1_2 & InsertSocket & InsertRocker1_2 & PressNeutral1_2;(PressRocker1_2 ~ Socket) & (PressRocker1_2 ~ Rocker1_2) & (PressRocker1_2 ~ Neutral1_2)
PressRocker2_1;Do you want to install PressRocker2_1?;PressRocker2_1 description;;;Socket & Rocker2_1 & Pole2_1 & InsertSocket & InsertRocker2_1 & PressPole2_1;(PressRocker2_1 ~ Pole2_1) & (PressRocker2_1 ~ Rocker2_1) & (PressRocker2_1 ~ Socket)
PressRocker2_2;Do you want to install PressRocker2_2?;PressRocker2_2 description;;;Socket & Rocker2_2 & Pole2_2 & InsertSocket & InsertRocker2_2 & PressPole2_2;(PressRocker2_2 ~ Pole2_2) & (PressRocker2_2 ~ Socket) & (PressRocker2_2 ~ Rocker2_2)
PressSeries;Do you want to install PressSeries?;PressSeries description;;;Socket & Series & Rocker1_1 & Rocker1_2 & InsertSocket & InsertSeries & PressRocker1_1 & PressRocker1_2;(PressSeries ~ Series) & (PressSeries ~ Rocker1_2) & (PressSeries ~ Socket) & (PressSeries ~ Rocker1_1)
Rocker;Will the Product Rocker will be used?;Rocker description;;;Rocker &  - Rocker;(Rocker ~ InsertRocker) & (Rocker ~ Pole) & (Rocker ~ PressRocker)
Rocker1_1;Will the Product Rocker1_1 will be used?;Rocker1_1 description;;;Rocker1_1 &  - Rocker1_1;(Rocker1_1 ~ Rocker) & (Rocker1_1 ~ Pole1_1)
Rocker1_2;Will the Product Rocker1_2 will be used?;Rocker1_2 description;;;Rocker1_2 &  - Rocker1_2;(Rocker1_2 ~ Rocker) & (Rocker1_2 ~ Pole2_1)
Rocker2_1;Will the Product Rocker2_1 will be used?;Rocker2_1 description;;;Rocker2_1 &  - Rocker2_1;(Rocker2_1 ~ Rocker) & (Rocker2_1 ~ Pole2_1)
Rocker2_2;Will the Product Rocker2_2 will be used?;Rocker2_2 description;;;Rocker2_2 &  - Rocker2_2;(Rocker2_2 ~ Rocker) & (Rocker2_2 ~ Pole2_2)
Screw;Will the Product Screw will be used?;Screw description;;;Screw &  - Screw;(Screw ~ InsertScrew) & (Screw ~ ScrewScrew)
Screw1_1;Will the Product Screw1_1 will be used?;Screw1_1 description;;;Screw1_1 &  - Screw1_1;( - Screw1_1 ~ Screw1_1) & (Screw1_1 ~ Screw)
Screw1_2;Will the Product Screw1_2 will be used?;Screw1_2 description;;;Screw1_2 &  - Screw1_2;( - Screw1_2 ~ Screw1_2) & (Screw1_2 ~ Screw)
ScrewScrew;Do you want to install ScrewScrew?;ScrewScrew description;;;ScrewScrew &  - ScrewScrew;(ScrewScrew ~ Socket) & (ScrewScrew ~ Claw) & (ScrewScrew ~ O_Ring) & (ScrewScrew ~ Screw)
ScrewScrew1_1;Do you want to install ScrewScrew1_1?;ScrewScrew1_1 description;;;Socket & Screw1_1 & O_Ring1_1 & Claw1_1 & InsertSocket & InsertScrew1_1 & InsertO_Ring1_1 & InsertClaw1_1;(ScrewScrew1_1 ~ Claw1_1) & (ScrewScrew1_1 ~ Screw1_1) & (ScrewScrew1_1 ~ O_Ring1_1) & (ScrewScrew1_1 ~ Socket)
ScrewScrew1_2;Do you want to install ScrewScrew1_2?;ScrewScrew1_2 description;;;Socket & Screw1_2 & O_Ring1_2 & Claw1_2 & InsertSocket & InsertScrew1_2 & InsertO_Ring1_2 & InsertClaw1_2;(ScrewScrew1_2 ~ Claw1_2) & (ScrewScrew1_2 ~ Screw1_2) & (ScrewScrew1_2 ~ O_Ring1_2) & (ScrewScrew1_2 ~ Socket)
Series;Will the Product Series will be used?;Series description;;;Series &  - Series;
Socket;Will the Product Socket will be used?;Socket description;;;Socket &  - Socket;( - Socket ~ Socket)
